storyBegin,阿朵王國多年來一直太平，但有一天，地平線上烏云密布。邪惡的巫師馬拉卡回來了，他決心征服阿多並奴役其人民。馬拉卡帶著他的亡靈軍隊和黑魔法開始向首都進軍，意圖摧毀他所經過的一切。你是城市防禦的指揮官，負責保護阿多的人民並阻止馬拉卡的軍隊到達城門。你必須建造和升級防禦建築，招募和訓練士兵，並戰略性地部署你的部隊以抵禦敵人的進攻。隨著遊戲的進行，隨著馬拉卡軍隊的實力和數量的增長，你將面臨越來越困難的挑戰。你將需要調整你的防禦，解鎖新技術和法術來反擊敵人強大的魔法和先進的攻城武器。但 Ardor 的命運不僅僅取決於你的防禦。你將需要收集情報、招募盟友並發動反擊以削弱敵人的力量並最終擊敗馬拉卡本人。只有這樣，你才能恢復王國的和平，一勞永逸地消滅邪惡的巫師
storyPlayerWins,經過漫長而艱苦的戰鬥，你和你的軍隊終於打敗了馬拉卡和他的軍隊。邪惡的巫師被打敗了，他的軍隊被風吹散了。當你審視戰鬥的後果時，你會看到阿多的人們從他們的家園和避難所中走出來，歡呼慶祝他們的勝利。陽光再次明媚，空氣中瀰漫著音樂聲和歡笑聲。為了表彰你的勇敢和領導才能，阿朵國王授予你最高榮譽，王國人民為你歡呼英雄.王國開始重建工作，從戰爭造成的破壞中恢復過來，但未來看起來一片光明，阿朵的人民再次充滿希望。至於你，你知道你的工作還沒有完成。 Ardour 總會面臨新的威脅，需要克服新的挑戰。但現在，你可以沉浸在勝利的榮耀中，知道你已經拯救了你的王國並為這片土地帶來了和平
storyPlayerLose,儘管你盡了最大的努力，馬拉卡的部隊還是太強大了，他們攻破了城門。你的軍隊英勇作戰，但敵不過敵人的無情進攻。隨著戰鬥的進行，你看到城市陷入混亂。建築物在燃燒，人們四處逃竄，敵軍在街道上橫衝直撞。你知道大勢已去，勝利無望。你懷著沉重的心情，命令部隊撤退，希望稍後重新集結，發動反攻。但當你逃離這座城市時，你會看到馬拉卡軍隊留下的廢墟。 Ardor 的人民一片混亂，王國一片廢墟。在接下來的幾天和幾周里，你試圖重建你的軍隊，並對敵人發起新的攻勢。但為時已晚。 Malakar 的軍隊已經征服了王國的大部分地區，他對權力的控制是強大到無法打破的。隨著歲月的流逝，你聽到了叛亂和反抗的謠言，但他們很快就被邪惡巫師的力量粉碎了。你在恥辱和遺憾中度過餘下的日子，被你未能保護阿多的人民和擊敗馬拉卡的記憶所困擾。
cancel,取消
continue,繼續
accept,接受
newGame,新遊戲
start,開始
load,加載
changeLanguage,改變語言
exitGame,出口
deleteConfirmation,您確定要刪除這個保存的遊戲嗎？
yes,是的
no,不
pikeman,長槍兵
pikemanDescription,長槍兵是城堡防禦的中堅力量，堅守陣地抵禦敵軍的猛攻。他們身著重甲，手持長矛，形成一道牢不可破的防禦牆，即使是最堅決的攻擊也能抵擋。他們的紀律和訓練在他們精確的編隊和堅定不移的決心中顯而易見。他們堅守陣線抵禦敵人的衝鋒，他們的長矛齊刷刷地伸出來，形成一道任何入侵者都無法穿透的鋼鐵屏障。當敵軍逼近時，長槍兵仍然堅定不移，他們的盾牌形成了堅不可摧的防禦牆。他們是城堡大門的守護者，隨時準備擊退任何膽敢挑戰他們權威的入侵者。儘管他們穿著厚重的盔甲和笨重的武器，但長槍兵的移動卻出人意料地敏捷，他們靈活的步法使他們能夠躲閃和穿梭於敵人的攻擊。他們使用長矛發揮巨大作用，以致命的準確度打擊敵人並將敵人拒之門外。危難時刻，長槍兵第一個做出反應，衝到前線迎敵。他們是城堡防禦的無名英雄，在危險面前堅定不移。每一次突進和格擋，長槍兵都會創造出一道敵人無法攻破的鋼牆。他們傲然挺立，鋒利的長矛在陽光下閃閃發光，象徵著城堡的力量和堅韌。最終，是長槍兵在下方堅守陣地，而弓箭手則從上方射下箭雨。他們是第一道防線，不倒下最後一個入侵者，他們是不會退縮的。
archer,射手
archerDescription,弓箭手是城堡防禦的耳目，他們掃視地平線以尋找任何接近敵軍的跡象。他們手持強大的長弓和裝滿箭的箭袋，從安全距離向敵人降下死亡之雨。他們的技能經過多年的練習磨練，使他們能夠以致命的準確性射出箭。他們仔細瞄準，當他們將箭射向天空時，他們穩定的雙手從不搖晃。弓箭手是城堡防禦的重要組成部分，提供城堡牆壁和塔樓的掩護。他們與地面上的長槍兵協同作戰，幹掉任何突破城堡外圍的敵人。儘管他們距離前線很遠，但弓箭手並非沒有危險。敵軍經常用箭和其他射彈瞄准他們，他們必須保持警惕以免被擊中。為了應對這種情況，弓箭手製定了一系列防禦策略，使用盾牌和其他屏障保護自己，同時繼續向敵人射擊敵人。在非常需要的時候，弓箭手也可以使用他們的弓箭作為近距離武器。憑藉他們快速的反應和致命的準確性，他們是一支不可忽視的力量，即使在近距離也是如此。最後，是弓箭手為長槍兵提供掩護和支持以守住下方的地面。他們是城堡防禦的耳目，他們將繼續向敵人降下死亡之雨，直到最後一箭射出。
delete,刪除
loading,加載中
selectGame,選擇遊戲
automaticallyLoadGame,下次自動加載所選插槽
mainMenu,主菜單
upgrades,升級
information,信息
play,玩
fireballAbilityName,炎爆術
fireballAbilityDescription,炎爆術是一種強大的攻擊，可以釋放出灼熱的火球，焚燒其路徑上的敵人。
coinAbilityName,命運的眷顧
