Id,Value
storyBegin,"The kingdom of Ardor has been at peace for many years, but one day, dark clouds gather on the horizon. The evil sorcerer Malakar has returned, and he is determined to conquer Ardor and enslave its people. With his army of undead soldiers and dark magic, Malakar begins to march towards the capital city, intent on destroying everything in his path.You are the commander of the city's defenses, responsible for protecting the people of Ardor and stopping Malakar's army from reaching the city gates. You must build and upgrade defensive structures, recruit and train soldiers, and strategically place your troops to defend against the enemy's attacks.As you progress through the game, you will face increasingly difficult challenges as Malakar's army grows in strength and numbers. You will need to adapt your defenses, unlocking new technologies and spells to fight back against the enemy's powerful magic and advanced siege weapons.But the fate of Ardor rests on more than just your defenses. You will need to gather intelligence, recruit allies, and launch counterattacks to weaken the enemy's forces and eventually defeat Malakar himself. Only then can you restore peace to the kingdom and vanquish the evil sorcerer once and for all."
storyPlayerWins,"After a long and difficult battle, you and your army have finally defeated Malakar and his forces. The evil sorcerer lies defeated, and his army has been scattered to the winds.As you survey the aftermath of the battle, you see the people of Ardor emerging from their homes and shelters, cheering and celebrating their victory. The sun is shining once again, and the air is filled with the sound of music and laughter.In recognition of your bravery and leadership, the king of Ardor awards you with the highest honors, and the people of the kingdom hail you as a hero. The kingdom begins the work of rebuilding and recovering from the damage done by the war, but the future looks bright, and the people of Ardor are filled with hope once again.As for you, you know that your work is not done. There will always be new threats to Ardor, and new challenges to overcome. But for now, you can bask in the glory of victory, knowing that you have saved your kingdom and brought peace back to the land."
storyPlayerLose,"Despite your best efforts, Malakar's forces were too powerful, and they breached the gates of the city. Your army fought valiantly, but it was no match for the relentless advance of the enemy.As the battle rages on, you see the city falling into chaos. Buildings are burning, people are fleeing in all directions, and the enemy soldiers are running rampant through the streets. You know that this is the end, and that there is no hope of victory.With a heavy heart, you order your troops to retreat, hoping to regroup and launch a counterattack later. But as you flee the city, you see the devastation left in the wake of Malakar's army. The people of Ardor are in disarray, and the kingdom is in ruins.In the days and weeks that follow, you try to rebuild your forces and launch a new offensive against the enemy. But it is too late. Malakar's army has already conquered most of the kingdom, and his grip on power is too strong to be broken.As the years go by, you hear rumors of rebellion and resistance, but they are quickly crushed by the power of the evil sorcerer. You live the rest of your days in shame and regret, haunted by the memory of your failure to protect the people of Ardor and defeat Malakar."
cancel,Cancel
continue,Continue
accept,Accept
newGame,New game
start,Start
load,Load 
changeLanguage,Change language
exitGame,Exit
deleteConfirmation,Are you sure you want to delete this saved game?
yes,Yes
no,No
pikeman,Pikeman
pikemanDescription,"The pikemen are the backbone of the castle defense, standing firm against the onslaught of enemy forces. Clad in heavy armor and wielding long spears, they form an unbreakable wall of defense that can withstand even the most determined assault. Their discipline and training are evident in their precise formations and unwavering resolve. They hold the line against the enemy's charge, their long spears thrusting out in unison to create a barrier of steel that no invader can penetrate. As the enemy forces approach, the pikemen remain steadfast, their shields forming an impenetrable wall of defense. They are the guardians of the castle gates, ready to repel any intruder who dares to challenge their authority. Despite their heavy armor and cumbersome weapons, the pikemen move with surprising agility, their nimble footwork allowing them to dodge and weave through the enemy's attack. They use their spears to great effect, striking with deadly accuracy and keeping the enemy at bay. In times of crisis, the pikemen are the first to respond, rushing to the front lines to meet the enemy head-on. They are the unsung heroes of the castle defense, steadfast and unflinching in the face of danger. With each thrust and parry, the pikemen create a wall of steel that the enemy cannot breach. They stand tall and proud, their sharp spears glinting in the sunlight, a symbol of the castle's strength and resilience.In the end, it is the pikemen who hold the ground below while the archers rain down arrows from above. They are the first line of defense, and they will not back down until the last invader has fallen."
archer,Archer
archerDescription,"The archers are the eyes and ears of the castle defense, scanning the horizon for any signs of approaching enemy forces. Armed with powerful longbows and a quiver full of arrows, they rain down death upon their foes from a safe distance.Their skills are honed through years of practice, allowing them to fire their arrows with deadly accuracy. They take careful aim, their steady hands never wavering as they loose their arrows into the sky.The archers are a crucial component of the castle defense, providing cover from the castle walls and towers. They work in tandem with the pikemen on the ground, taking out any enemies who breach the castle's perimeter.Despite their distance from the front lines, the archers are not without danger. Enemy forces often target them with arrows and other projectiles, and they must remain vigilant to avoid being hit.To counter this, the archers have developed a range of defensive tactics, using shields and other barriers to protect themselves while they continue to fire upon the enemy.In times of great need, the archers can also take to the ground, using their bows as close-range weapons. With their quick reflexes and deadly accuracy, they are a force to be reckoned with, even at close quarters.In the end, it is the archers who provide the cover and support needed for the pikemen to hold the ground below. They are the eyes and ears of the castle defense, and they will continue to rain down death upon their enemies until the last arrow has been fired."
delete,Delete
loading,Loading
selectGame,Select game
automaticallyLoadGame,Load selected slot automatically next time
mainMenu,Main menu
upgrades,Upgrades
information,Information
play,Play
fireballAbilityName,Astro Strike
fireballAbilityDescription,The Astro strike ability is a powerful attack that damages units on specified part of ground
coinAbilityName,Fortune's Favor
coinAbilityDescription,"The Coin Bonus ability is a powerful boost that can significantly increase a player's wealth in a short amount of time. When activated, the ability triggers a wave of good fortune, giving bonus from killed enemies"
poisonAbilityName,Venom Vortex
poisonAbilityDescription,"The Venom Vortex ability is a powerful attack that creates a noxious cloud of poison, damaging all enemies caught within its radius. When activated, a dark cloud emanates from the caster, spreading outwards to engulf all enemies within range.The poisonous cloud deals continuous damage over time, weakening the enemy's defenses and leaving them vulnerable to attack. As the cloud lingers, the damage it deals intensifies, making it an especially potent attack against large groups of enemies.However, the The Venom Vortex is not without risk. The poison cloud can also harm allies caught within its radius, so players must use this ability carefully, ensuring that they do not inadvertently damage their own troops.Overall, the Poison Area Effect ability is a valuable tool for players looking to weaken the enemy's defenses and gain the upper hand in battle. With careful use, it can prove to be a game-changing attack that turns the tide of battle in the player's favor."
timewarpAbilityName,Time Warp
timewarpAbilityDescription,"The Time Warp ability is a powerful control ability that slows down time for all enemies caught within its radius. When activated, the player creates a temporal field that causes enemies to move and attack at a reduced speed, making it easier to dodge attacks or launch a counter-attack.As the temporal field persists, enemies continue to move more slowly, allowing the player to take advantage of their sluggishness. However, the ability's duration is limited, so players must make the most of their time within the field before it fades away."
,Bloodlust
