Id,Value
storyBegin,"अर्दोर का राज्य कई वर्षों से शांति में है, लेकिन एक दिन क्षितिज पर काले बादल इकट्ठा होते हैं। दुष्ट जादूगर मालाकार वापस आ गया है, और वह अर्दोर को जीतने और उसके लोगों को गुलाम बनाने के लिए दृढ़ संकल्पित है। मरे हुए सैनिकों और काले जादू की अपनी सेना के साथ, मालाकार अपने रास्ते में सब कुछ नष्ट करने के इरादे से राजधानी शहर की ओर मार्च करना शुरू कर देता है। आप शहर की सुरक्षा के कमांडर हैं, अर्दोर के लोगों की रक्षा करने और मालाकार की सेना को पहुंचने से रोकने के लिए जिम्मेदार हैं। शहर के द्वार। आपको रक्षात्मक संरचनाओं का निर्माण और उन्नयन करना चाहिए, सैनिकों की भर्ती और प्रशिक्षण करना चाहिए, और दुश्मन के हमलों से बचाव के लिए अपने सैनिकों को रणनीतिक रूप से तैनात करना चाहिए। जैसे-जैसे आप खेल के माध्यम से आगे बढ़ते हैं, मालाकार की सेना की ताकत और संख्या में वृद्धि के साथ-साथ आपको कठिन चुनौतियों का सामना करना पड़ेगा। आपको दुश्मन के शक्तिशाली जादू और उन्नत घेराबंदी के हथियारों के खिलाफ वापस लड़ने के लिए नई तकनीकों को अनलॉक करते हुए, अपने बचाव को अनुकूलित करने की आवश्यकता होगी। आपको दुश्मन की ताकतों को कमजोर करने और अंततः मालाकार को हराने के लिए खुफिया जानकारी इकट्ठा करने और पलटवार शुरू करने की आवश्यकता होगी। तभी आप राज्य में शांति बहाल कर सकते हैं और हमेशा के लिए दुष्ट जादूगर को हरा सकते हैं।"
storyPlayerWins,"एक लंबी और कठिन लड़ाई के बाद, आपने और आपकी सेना ने आखिरकार मालाकार और उसकी सेना को हरा दिया। दुष्ट जादूगर हार गया है, और उसकी सेना हवाओं में तितर-बितर हो गई है। जैसा कि आप लड़ाई के बाद का सर्वेक्षण करते हैं, आप अर्दोर के लोगों को अपने घरों और आश्रयों से निकलते हुए देखते हैं, जयकार करते हैं और अपनी जीत का जश्न मनाते हैं। सूरज एक बार फिर चमक रहा है, और हवा संगीत और हँसी की आवाज़ से भर गई है। आपकी बहादुरी और नेतृत्व की मान्यता में, अर्दोर के राजा आपको सर्वोच्च सम्मान से सम्मानित करते हैं, और राज्य के लोग आपको नायक के रूप में सम्मानित करते हैं। राज्य पुनर्निर्माण और युद्ध से हुए नुकसान से उबरने का काम शुरू करता है, लेकिन भविष्य उज्ज्वल दिखता है, और अर्दोर के लोग एक बार फिर उम्मीद से भर जाते हैं। जहां तक आपकी बात है, आप जानते हैं कि आपका काम पूरा नहीं हुआ है। अर्दोर के लिए हमेशा नए खतरे होंगे, और नई चुनौतियों से पार पाना होगा। लेकिन अभी के लिए, आप जीत की महिमा का आनंद उठा सकते हैं, यह जानकर कि आपने अपना राज्य बचा लिया है और देश में शांति वापस ला दी है।"
storyPlayerLose,"आपके सर्वोत्तम प्रयासों के बावजूद, मालाकार की सेना बहुत शक्तिशाली थी, और उन्होंने शहर के फाटकों को तोड़ दिया। आपकी सेना ने बहादुरी से लड़ाई लड़ी, लेकिन यह दुश्मन के लगातार आगे बढ़ने का कोई मुकाबला नहीं था। जैसे-जैसे लड़ाई बढ़ती है, आप शहर को अराजकता में गिरते हुए देखते हैं। इमारतें जल रही हैं, लोग सभी दिशाओं में भाग रहे हैं, और दुश्मन सैनिक सड़कों पर बेतहाशा भाग रहे हैं। आप जानते हैं कि यह अंत है, और जीत की कोई उम्मीद नहीं है। भारी मन से, आप अपने सैनिकों को पीछे हटने का आदेश देते हैं, इस उम्मीद में कि बाद में फिर से संगठित होकर जवाबी हमला करेंगे। लेकिन जैसे ही आप शहर से भागते हैं, आप मालाकार की सेना के मद्देनजर तबाही को देखते हैं। अर्दोर के लोग अव्यवस्था में हैं, और राज्य बर्बाद हो गया है। आने वाले दिनों और हफ्तों में, आप अपनी सेना का पुनर्निर्माण करने और दुश्मन के खिलाफ एक नया आक्रमण शुरू करने का प्रयास करेंगे। लेकिन अब तो बहुत देरी हो चुकी है। मालाकार की सेना ने पहले ही अधिकांश राज्य पर विजय प्राप्त कर ली है, और सत्ता पर उसकी पकड़ टूटने के लिए बहुत मजबूत है। जैसे-जैसे साल बीतते हैं, आप विद्रोह और प्रतिरोध की अफवाहें सुनते हैं, लेकिन वे दुष्ट जादूगर की शक्ति से जल्दी कुचल जाते हैं। आप अपने बाकी दिनों को शर्म और पछतावे में जीते हैं, अर्दोर के लोगों की रक्षा करने और मालाकार को हराने में अपनी विफलता की याद से परेशान हैं।"
cancel,रद्द करना
continue,जारी रखना
accept,स्वीकार करना
newGame,नया खेल
start,शुरू
load,भार
changeLanguage,भाषा बदलें
