Id,Value
storyBegin,"El reino de Ardor ha estado en paz durante muchos años, pero un día, nubes oscuras se juntan en el horizonte. El malvado hechicero Malakar ha regresado y está decidido a conquistar Ardor y esclavizar a su gente. Con su ejército de soldados muertos vivientes y magia oscura, Malakar comienza a marchar hacia la ciudad capital, con la intención de destruir todo a su paso. Eres el comandante de las defensas de la ciudad, responsable de proteger a la gente de Ardor y evitar que el ejército de Malakar llegue al puertas de la ciudad Debes construir y mejorar estructuras defensivas, reclutar y entrenar soldados, y ubicar estratégicamente tus tropas para defenderte de los ataques del enemigo. A medida que avanzas en el juego, enfrentarás desafíos cada vez más difíciles a medida que el ejército de Malakar crece en fuerza y número. Tendrás que adaptar tus defensas, desbloqueando nuevas tecnologías para luchar contra la poderosa magia y las armas de asedio avanzadas del enemigo. Pero el destino de Ardor depende de algo más que tus defensas. Tendrás que recopilar inteligencia y lanzar contraataques para debilitar las fuerzas enemigas y finalmente derrotar al mismo Malakar. Solo entonces podrás restaurar la paz en el reino y vencer al malvado hechicero de una vez por todas."
storyPlayerWins,"Después de una batalla larga y difícil, tú y tu ejército finalmente habéis derrotado a Malakar y sus fuerzas. El malvado hechicero yace derrotado, y su ejército ha sido dispersado por los vientos. Mientras examinas las secuelas de la batalla, ves a la gente de Ardor saliendo de sus hogares y refugios, vitoreando y celebrando su victoria. El sol vuelve a brillar y el aire se llena con el sonido de la música y las risas. En reconocimiento a tu valentía y liderazgo, el rey de Ardor te otorga los más altos honores y la gente del reino te aclama como un héroe. . El reino comienza el trabajo de reconstrucción y recuperación del daño causado por la guerra, pero el futuro parece brillante y la gente de Ardor está llena de esperanza una vez más. En cuanto a ti, sabes que tu trabajo no ha terminado. Siempre habrá nuevas amenazas para Ardor y nuevos desafíos que superar. Pero por ahora, puede disfrutar de la gloria de la victoria, sabiendo que ha salvado su reino y ha devuelto la paz a la tierra."
storyPlayerLose,"A pesar de tus mejores esfuerzos, las fuerzas de Malakar eran demasiado poderosas y atravesaron las puertas de la ciudad. Tu ejército luchó valientemente, pero no fue rival para el implacable avance del enemigo. A medida que avanza la batalla, ves que la ciudad cae en el caos. Los edificios están ardiendo, la gente huye en todas direcciones y los soldados enemigos corren desenfrenados por las calles. Sabes que este es el final y que no hay esperanza de victoria. Con el corazón apesadumbrado, ordenas a tus tropas que se retiren, con la esperanza de reagruparse y lanzar un contraataque más tarde. Pero cuando huyes de la ciudad, ves la devastación que dejó el ejército de Malakar. La gente de Ardor está en desorden y el reino está en ruinas. En los días y semanas que siguen, intentas reconstruir tus fuerzas y lanzar una nueva ofensiva contra el enemigo. Pero es demasiado tarde. El ejército de Malakar ya ha conquistado la mayor parte del reino, y su control sobre el poder es demasiado fuerte para romperlo. A medida que pasan los años, escuchas rumores de rebelión y resistencia, pero el poder del malvado hechicero los aplasta rápidamente. Vives el resto de tus días avergonzado y arrepentido, atormentado por el recuerdo de tu fracaso para proteger a la gente de Ardor y derrotar a Malakar."
cancel,Cancelar
continue,Continuar
accept,Aceptar
newGame,Nuevo juego
start,Comenzar
load,Carga
changeLanguage,Cambiar idioma
exitGame,Salir del juego
deleteConfirmation,¿Seguro que quieres eliminar este juego guardado?
yes,Sí
no,No
pikeman,Piquero
pikemanDescription,"Los piqueros son la espina dorsal de la defensa del castillo, manteniéndose firmes ante el ataque de las fuerzas enemigas. Ataviados con pesadas armaduras y empuñando largas lanzas, forman un muro de defensa inquebrantable que puede resistir incluso el asalto más decidido. Su disciplina y entrenamiento son evidentes en sus formaciones precisas y su resolución inquebrantable. Mantienen la línea frente a la embestida enemiga, sus largas lanzas empujando al unísono para crear una barrera de acero que ningún invasor puede penetrar. A medida que las fuerzas enemigas se acercan, los piqueros se mantienen firmes, con sus escudos formando un muro impenetrable de defensa. Son los guardianes de las puertas del castillo, listos para repeler a cualquier intruso que se atreva a desafiar su autoridad. A pesar de su pesada armadura y sus pesadas armas, los piqueros se mueven con sorprendente agilidad, su ágil juego de pies les permite esquivar y sortear los ataques enemigos. Utilizan sus lanzas con gran eficacia, golpeando con precisión mortal y manteniendo a raya al enemigo. En tiempos de crisis, los piqueros son los primeros en responder, corriendo al frente para enfrentarse al enemigo. Son los héroes anónimos de la defensa del castillo, firmes e inquebrantables ante el peligro. Con cada estocada y parada, los piqueros crean un muro de acero que el enemigo no puede atravesar. Se mantienen erguidos y orgullosos, con sus afiladas lanzas brillando a la luz del sol, símbolo de la fuerza y la resistencia del castillo.Al final, son los piqueros quienes sostienen el suelo mientras los arqueros lanzan una lluvia de flechas desde arriba. Son la primera línea de defensa, y no retrocederán hasta que haya caído el último invasor."
archer,Arquero
archerDescription,
delete,Borrar
loading,Cargando
selectGame,Selecciona un juego
automaticallyLoadGame,Cargar ranura seleccionada automáticamente la próxima vez
mainMenu,Menú principal
upgrades,Actualizaciones
information,Tutorial
play,Jugar
fireballAbilityName,Explosión pirotécnica
